Date,Close,Volume,Company,Ticker,Close_Normalised,YearMonth
2020-10-28,5.961853981018066,1719000,BYD,BYDDY,209.53407549764265,2020-10
2020-10-29,6.70143461227417,1717800,BYD,BYDDY,235.52722197852108,2020-10
2020-10-30,6.570635795593262,1771800,BYD,BYDDY,230.9301940713163,2020-10
2020-11-02,7.208482265472412,2730000,BYD,BYDDY,253.34781295314275,2020-11
2020-11-03,7.179415702819824,1362600,BYD,BYDDY,252.32624560971306,2020-11
2020-11-04,7.405488014221191,2235600,BYD,BYDDY,260.2717358743055,2020-11
2020-11-05,8.358222961425781,2590200,BYD,BYDDY,293.75635944818237,2020-11
2020-11-06,8.246801376342773,1846800,BYD,BYDDY,289.84035967777817,2020-11
2020-11-09,8.187052726745605,1942800,BYD,BYDDY,287.74044611138834,2020-11
2020-11-10,7.329592227935791,3210000,BYD,BYDDY,257.6043184125376,2020-11
2020-11-11,6.946884632110596,1954200,BYD,BYDDY,244.15375713873328,2020-11
2020-11-12,7.623486995697021,3150600,BYD,BYDDY,267.9334825706185,2020-11
2020-11-13,7.613798141479492,2782800,BYD,BYDDY,267.5929601228086,2020-11
2020-11-16,7.555665493011475,5080200,BYD,BYDDY,265.5498421947685,2020-11
2020-11-17,7.168111801147461,1952400,BYD,BYDDY,251.92896104119194,2020-11
2020-11-18,7.45231819152832,2900400,BYD,BYDDY,261.9176195102822,2020-11
2020-11-19,7.321518421173096,2222400,BYD,BYDDY,257.32055808543896,2020-11
2020-11-20,7.662241458892822,2004600,BYD,BYDDY,269.29553884421966,2020-11
2020-11-23,8.501938819885254,4837800,BYD,BYDDY,298.8073670093426,2020-11
2020-11-24,8.42281436920166,2529600,BYD,BYDDY,296.02647558260986,2020-11
2020-11-25,8.116002082824707,1500000,BYD,BYDDY,285.2433150117542,2020-11
2020-11-27,7.87539529800415,1255800,BYD,BYDDY,276.7869991783989,2020-11
2020-11-30,7.533058166503906,1999200,BYD,BYDDY,264.7552898165454,2020-11
